idx,category,cd_l1,gt_b0,pred_b0,gt_b1,pred_b1,w2_h0,w2_h1,w1_h0,bd_h0,bd_h1,n_gt_h0,n_pred_h0,n_gt_h1,n_pred_h1,topo_error
0,sofa,7.325334008783102,1,1,0,0,0.0007043128173708574,0.0020414161560211954,0.009852134836870655,0.00029348750467252105,0.0010555732672131626,256,256,712,751,0.002745728973392053
1,sofa,5.279611796140671,1,1,0,0,0.0004163903289832036,0.0008213244664638159,0.006004668795743678,4.11389727193838e-05,0.00017276750741416523,256,256,664,705,0.0012377147954470195
2,sofa,7.968411780893803,1,1,0,0,0.001531115870369105,0.0018875947125277992,0.02158582443797966,0.0003324968739224811,0.00030244717857872035,256,256,763,776,0.003418710582896904
3,sofa,7.156082894653082,1,1,0,0,0.0008755016880141764,0.0012892359937874292,0.013548479274953677,8.231008528272244e-05,0.00023580150348240236,256,256,745,779,0.0021647376818016055
4,sofa,4.340139217674732,1,1,0,0,0.0011879285001980702,0.000998041520593788,0.014944671962483742,0.0007273248996950143,0.00022124618690691467,256,256,665,645,0.0021859700207918584
5,sofa,9.018166922032833,1,1,0,0,0.0010122718013142846,0.0028880551608278676,0.010494071035835164,0.0007269061221230749,0.0005594093913776146,256,256,755,772,0.0039003269621421524
6,sofa,6.5492503345012665,1,1,0,0,0.0008001642464598828,0.001695307911067679,0.00831467146109409,0.0004840283793667308,0.00035838517804723247,256,256,659,757,0.0024954721575275616
7,sofa,8.171042427420616,1,1,0,0,0.0004412454718218,0.0017570558667767459,0.005683232131486248,7.579863602074147e-05,0.0006504799847097557,256,256,803,846,0.0021983013385985456
8,sofa,7.2859362699091434,1,1,0,0,0.0015681511267389289,0.0029073937868247324,0.023989720050741382,0.0004440980486046797,0.000625038353031904,256,256,664,696,0.004475544913563661
9,sofa,8.270815014839172,1,1,0,0,0.0025086889778147526,0.003923005215875096,0.03654494513159949,0.0004844538190728609,0.0008884562079167638,256,256,801,846,0.006431694193689849
10,sofa,8.18190909922123,1,1,0,0,0.0023463997271119014,0.003120597999012039,0.03485050011917809,0.0005711397599998105,0.0002980935910772342,256,256,718,776,0.00546699772612394
11,sofa,8.19697231054306,1,1,0,0,0.0012395761767606604,0.0033580439550728795,0.01903663799170642,0.00021026407524160629,0.0007398105628510926,256,256,675,755,0.00459762013183354
12,sofa,12.771177105605602,1,1,0,0,0.0036672527278068683,0.0045409780608178804,0.05780291764151157,0.00037174540993057336,0.0008659471904387444,256,256,664,840,0.00820823078862475
13,sofa,10.056463070213795,1,1,0,0,0.0007335611678629747,0.002897575874653361,0.01123810404375426,8.49816361816367e-05,0.00044598998989253333,256,256,689,700,0.0036311370425163355
14,sofa,9.487157687544823,1,1,0,0,0.0026187224285528503,0.0034059406494946795,0.041086014978337373,0.00038035739703778937,0.000493661609077987,256,256,691,828,0.00602466307804753
15,sofa,11.652164161205292,1,1,0,0,0.004665681328403267,0.006651075521295258,0.07340432678916395,0.00046523255102696656,0.000803870357577046,256,256,737,858,0.011316756849698524
16,sofa,7.226915098726749,1,1,0,0,0.0014921760348739484,0.0028157413704566034,0.023233322330900814,0.0001500109363093971,0.0005208975755635042,256,256,671,770,0.004307917405330552
17,sofa,8.092764765024185,1,1,0,0,0.0026268702243751577,0.0031000707397731545,0.04100667273416563,0.0003274061046260046,0.0007645998273948474,256,256,650,849,0.005726940964148312
18,sofa,10.233242064714432,1,1,0,0,0.0024119305732768505,0.004322670383729643,0.036763493788104465,0.0002317620254468,0.0005951163581277562,256,256,810,820,0.0067346009570064935
19,sofa,10.553277097642422,1,1,0,0,0.005319237061738047,0.005484917224955963,0.07592100332695126,0.0010879801075541068,0.0010896350921267524,256,256,746,780,0.01080415428669401
20,sofa,8.961675688624382,1,1,0,0,0.0006990437329542552,0.0011973679496779979,0.01085253374443551,9.857456266701772e-05,0.00027308678894333256,256,256,811,801,0.001896411682632253
21,sofa,8.808529004454613,1,1,0,0,0.0017178449840618592,0.002589228513246724,0.027058629121010955,0.0001342671142111067,0.0006870111528753213,256,256,701,847,0.004307073497308583
22,sofa,9.206702932715416,1,1,0,0,0.004852161521881377,0.004366829164824921,0.07531832692500663,0.0009205406951660645,0.0007284964804621917,256,256,678,802,0.0092189906867063
23,sofa,6.774683948606253,1,1,0,0,0.000788461678146516,0.0023219830238398885,0.010156203721274105,0.00017149396531892028,0.000951834887933687,256,256,687,736,0.0031104447019864043
24,sofa,8.088722825050354,1,1,0,0,0.001146240361290899,0.0021265077206675596,0.016867110012348845,0.0003210881773723674,0.00034538590387745257,256,256,716,777,0.003272748081958459
25,sofa,8.65580141544342,1,1,0,0,0.0008732532392142357,0.001540049694908621,0.012282860950645395,0.0004098832689357866,0.00028157318378361227,256,256,817,863,0.0024133029341228567
26,sofa,9.882992133498192,1,1,0,0,0.0014198597215524344,0.0032738290092169183,0.017936706641877704,0.0005944020560075675,0.00043031063554720394,256,256,807,797,0.004693688730769353
27,sofa,7.475742604583502,1,1,0,0,0.0005126758983489814,0.0015690412814608342,0.004118656437025116,0.0003316060277226557,0.00041349001300540386,256,256,831,820,0.0020817171798098158
28,sofa,9.726576507091522,1,1,0,0,0.001108681199108374,0.003182215335274662,0.016606751926830653,0.00023427964416028457,0.0006908801124950468,256,256,835,807,0.004290896534383036
29,sofa,9.607391431927681,1,1,0,0,0.005182220706076478,0.005095329451536407,0.08059373389144436,0.0005853603645809427,0.0011081204333400869,256,256,735,811,0.010277550157612884
30,sofa,9.881310164928436,1,1,0,0,0.0010231024420054935,0.002571259097666213,0.01428550070032129,0.00032055631608229884,0.0005535660624374494,256,256,762,809,0.0035943615396717065
